host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
m1-server,tiny,1457,move,accepted,moved,1,0.0199,0.0045,0.0037,0.0725,0.0026,0.1032
m1-server,tiny,1458,talk,rejected,not_eligible,0,0.0155,0.0075,0.0018,0.0626,0.0024,0.0900
m1-server,tiny,1459,look,accepted,observed,0,0.0100,0.0039,0.0013,0.0549,0.0023,0.0723
m1-server,tiny,1460,wait,rejected,invalid_time,0,0.0098,0.0041,0.0013,0.0500,0.0018,0.0671
m1-server,tiny,1461,move,rejected,exit_unavailable,0,0.0093,0.0039,0.0013,0.0615,0.0023,0.0783
m1-server,tiny,1462,take,replayed,not_present,0,0.0132,0.0034,0.0001,0.0000,0.0017,0.0185
m1-server,tiny,1463,take,rejected,not_present,0,0.0073,0.0033,0.0013,0.0543,0.0022,0.0685
m1-server,tiny,1464,move,accepted,moved,1,0.0098,0.0043,0.0037,0.0609,0.0023,0.0809
m1-server,tiny,1465,wait,rejected,invalid_time,0,0.0092,0.0037,0.0013,0.0545,0.0022,0.0707
m1-server,tiny,1466,move,accepted,moved,1,0.0105,0.0045,0.0034,0.0669,0.0022,0.0875
m1-server,tiny,1467,move,accepted,moved,1,0.0097,0.0040,0.0034,0.0580,0.0022,0.0773
m1-server,tiny,1468,choose,rejected,invalid_choice,0,0.0092,0.0043,0.0013,0.0678,0.0018,0.0844
m1-server,tiny,1469,talk,rejected,not_owned,0,0.0092,0.0036,0.0013,0.0461,0.0017,0.0619
m1-server,tiny,1470,activate,rejected,not_eligible,0,0.0093,0.0033,0.0013,0.0494,0.0023,0.0655
m1-server,tiny,1471,take,accepted,taken,1,0.0098,0.0041,0.0035,0.0560,0.0024,0.0758
m1-server,tiny,1472,look,accepted,observed,0,0.0094,0.0033,0.0013,0.0550,0.0018,0.0708
m1-server,tiny,1473,look,accepted,observed,0,0.0092,0.0033,0.0012,0.0529,0.0022,0.0687
m1-server,tiny,1474,look,accepted,observed,0,0.0098,0.0036,0.0013,0.0527,0.0021,0.0694
m1-server,tiny,1475,activate,rejected,not_eligible,0,0.0096,0.0039,0.0013,0.0472,0.0018,0.0638
m1-server,tiny,1476,drop,accepted,dropped,1,0.0092,0.0037,0.0141,0.0861,0.0029,0.1160
m1-server,tiny,1477,look,accepted,observed,0,0.0098,0.0037,0.0013,0.0478,0.0022,0.0646
m1-server,tiny,1478,look,accepted,observed,0,0.0096,0.0036,0.0013,0.0517,0.0021,0.0683
m1-server,tiny,1479,drop,replayed,dropped,0,0.0133,0.0035,0.0001,0.0000,0.0016,0.0185
m1-server,tiny,1480,move,accepted,moved,1,0.0074,0.0039,0.0034,0.0665,0.0021,0.0833
m1-server,tiny,1481,move,accepted,moved,1,0.0092,0.0040,0.0034,0.0808,0.0021,0.0995
m1-server,tiny,1482,wait,rejected,invalid_time,0,0.0089,0.0035,0.0012,0.0608,0.0018,0.0762
m1-server,tiny,1483,choose,rejected,stale_view,0,0.0086,0.0049,0.0013,0.0675,0.0018,0.0840
m1-server,tiny,1484,look,accepted,observed,0,0.0086,0.0033,0.0012,0.0518,0.0018,0.0667
m1-server,tiny,1485,move,rejected,exit_unavailable,0,0.0088,0.0035,0.0012,0.0510,0.0018,0.0663
